,pm2d5,lat,lon
2018-12-27 00:00:00,58.645,38.310168,116.85763100000001
2018-12-27 00:01:00,60.41502,38.310168,116.85763100000001
2018-12-27 00:02:00,54.30549,38.310168,116.85763100000001
2018-12-27 00:03:00,55.19849,38.310168,116.85763100000001
2018-12-27 00:04:00,55.08898000000001,38.310168,116.85763100000001
2018-12-27 00:05:00,55.12,38.310168,116.85763100000001
2018-12-27 00:06:00,53.30251,38.310168,116.85763100000001
2018-12-27 00:07:00,54.72896,38.310168,116.85763100000001
2018-12-27 00:08:00,56.279959999999996,38.310168,116.85763100000001
2018-12-27 00:09:00,55.355,38.310168,116.85763100000001
2018-12-27 00:10:00,53.63104000000001,38.310168,116.85763100000001
2018-12-27 00:11:00,54.94704,38.310168,116.85763100000001
2018-12-27 00:12:00,58.09745,38.310168,116.85763100000001
2018-12-27 00:13:00,54.91649,38.310168,116.85763100000001
2018-12-27 00:14:00,54.14804,38.310168,116.85763100000001
2018-12-27 00:15:00,53.72645,38.310168,116.85763100000001
2018-12-27 00:16:00,54.05404,38.310168,116.85763100000001
2018-12-27 00:17:00,55.54346999999999,38.310168,116.85763100000001
2018-12-27 00:18:00,55.23045,38.310168,116.85763100000001
2018-12-27 00:19:00,54.007509999999996,38.310168,116.85763100000001
2018-12-27 00:20:00,56.342,38.310168,116.85763100000001
2018-12-27 00:21:00,54.49349,38.310168,116.85763100000001
2018-12-27 00:22:00,54.994980000000005,38.310168,116.85763100000001
2018-12-27 00:23:00,54.10151,38.310168,116.85763100000001
2018-12-27 00:24:00,53.55396,38.310168,116.85763100000001
2018-12-27 00:25:00,54.822959999999995,38.310168,116.85763100000001
2018-12-27 00:26:00,55.699040000000004,38.310168,116.85763100000001
2018-12-27 00:27:00,56.20194,38.310168,116.85763100000001
2018-12-27 00:28:00,54.838469999999994,38.310168,116.85763100000001
2018-12-27 00:29:00,54.13253,38.310168,116.85763100000001
2018-12-27 00:30:00,55.27698,38.310168,116.85763100000001
2018-12-27 00:31:00,59.19349,38.310168,116.85763100000001
2018-12-27 00:32:00,57.924490000000006,38.310168,116.85763100000001
2018-12-27 00:33:00,55.18298000000001,38.310168,116.85763100000001
2018-12-27 00:34:00,60.102,38.310168,116.85763100000001
2018-12-27 00:35:00,56.373490000000004,38.310168,116.85763100000001
2018-12-27 00:36:00,56.765,38.310168,116.85763100000001
2018-12-27 00:37:00,54.63449,38.310168,116.85763100000001
2018-12-27 00:38:00,56.749019999999994,38.310168,116.85763100000001
2018-12-27 00:39:00,60.35345,38.310168,116.85763100000001
2018-12-27 00:40:00,56.17045,38.310168,116.85763100000001
2018-12-27 00:41:00,57.250980000000006,38.310168,116.85763100000001
2018-12-27 00:42:00,55.778,38.310168,116.85763100000001
2018-12-27 00:43:00,55.778,38.310168,116.85763100000001
2018-12-27 00:44:00,59.13004,38.310168,116.85763100000001
2018-12-27 00:45:00,55.667080000000006,38.310168,116.85763100000001
2018-12-27 00:46:00,54.39901999999999,38.310168,116.85763100000001
2018-12-27 00:47:00,55.21494000000001,38.310168,116.85763100000001
2018-12-27 00:48:00,56.53,38.310168,116.85763100000001
2018-12-27 00:49:00,58.37945,38.310168,116.85763100000001
2018-12-27 00:50:00,55.40294,38.310168,116.85763100000001
2018-12-27 00:51:00,54.96208000000001,38.310168,116.85763100000001
2018-12-27 00:52:00,56.68651,38.310168,116.85763100000001
2018-12-27 00:53:00,55.76201999999999,38.310168,116.85763100000001
2018-12-27 00:54:00,55.57402,38.310168,116.85763100000001
2018-12-27 00:55:00,54.415,38.310168,116.85763100000001
2018-12-27 00:56:00,55.79445,38.310168,116.85763100000001
2018-12-27 00:57:00,54.63401999999999,38.310168,116.85763100000001
2018-12-27 00:58:00,54.775490000000005,38.310168,116.85763100000001
2018-12-27 00:59:00,57.172019999999996,38.310168,116.85763100000001
2018-12-27 01:00:00,54.21196,38.310168,116.85763100000001
2018-12-27 01:01:00,53.27196,38.310168,116.85763100000001
2018-12-27 01:02:00,53.443509999999996,38.310168,116.85763100000001
2018-12-27 01:03:00,54.33698,38.310168,116.85763100000001
2018-12-27 01:04:00,55.04198,38.310168,116.85763100000001
2018-12-27 01:05:00,52.3235,38.310168,116.85763100000001
2018-12-27 01:06:00,54.32147,38.310168,116.85763100000001
2018-12-27 01:07:00,55.80996,38.310168,116.85763100000001
2018-12-27 01:08:00,52.738980000000005,38.310168,116.85763100000001
2018-12-27 01:09:00,54.368469999999995,38.310168,116.85763100000001
2018-12-27 01:10:00,54.72849,38.310168,116.85763100000001
2018-12-27 01:11:00,53.16198000000001,38.310168,116.85763100000001
2018-12-27 01:12:00,52.59798000000001,38.310168,116.85763100000001
2018-12-27 01:13:00,52.159,38.310168,116.85763100000001
2018-12-27 01:14:00,51.50100000000001,38.310168,116.85763100000001
2018-12-27 01:15:00,54.90051,38.310168,116.85763100000001
2018-12-27 01:16:00,54.838469999999994,38.310168,116.85763100000001
2018-12-27 01:17:00,56.21651,38.310168,116.85763100000001
2018-12-27 01:18:00,55.22951,38.310168,116.85763100000001
2018-12-27 01:19:00,51.59453,38.310168,116.85763100000001
2018-12-27 01:20:00,50.40449,38.310168,116.85763100000001
2018-12-27 01:21:00,54.68196,38.310168,116.85763100000001
2018-12-27 01:22:00,54.82155,38.310168,116.85763100000001
2018-12-27 01:23:00,59.99296,38.310168,116.85763100000001
2018-12-27 01:24:00,51.25002,38.310168,116.85763100000001
2018-12-27 01:25:00,55.60457,38.310168,116.85763100000001
2018-12-27 01:26:00,52.20647,38.310168,116.85763100000001
